"raceId","driverId","stop","lap","time","duration","milliseconds"
841,153,1,1,"17:05:23","26.898",26898
841,30,1,1,"17:05:52","25.021",25021
841,17,1,11,"17:20:48","23.426",23426
841,4,1,12,"17:22:34","23.251",23251
841,13,1,13,"17:24:10","23.842",23842
841,22,1,13,"17:24:29","23.643",23643
841,20,1,14,"17:25:17","22.603",22603
841,814,1,14,"17:26:03","24.863",24863
841,816,1,14,"17:26:50","25.259",25259
841,67,1,15,"17:27:34","25.342",25342
841,2,1,15,"17:27:41","22.994",22994
841,1,1,16,"17:28:24","23.227",23227
841,808,1,16,"17:28:39","24.535",24535
841,3,1,16,"17:29:00","23.716",23716
841,155,1,16,"17:29:06","24.064",24064
841,16,1,16,"17:29:08","25.978",25978
841,15,1,16,"17:29:49","24.899",24899
841,18,1,17,"17:30:24","16.867",16867
841,153,2,17,"17:31:06","24.463",24463
841,5,1,17,"17:31:11","24.865",24865
841,30,2,17,"17:32:08","23.988",23988
841,10,1,18,"17:33:02","23.792",23792
841,18,2,19,"17:33:53","23.303",23303
841,815,1,23,"17:40:27","23.438",23438
841,22,2,23,"17:40:45","37.856",37856
841,17,2,26,"17:44:29","22.520",22520
841,4,2,27,"17:46:04","24.733",24733
841,22,3,28,"17:49:07","16.892",16892
841,67,2,29,"17:49:47","23.100",23100
841,2,2,30,"17:51:32","25.098",25098
841,13,2,31,"17:52:28","24.500",24500
841,155,2,32,"17:54:21","24.192",24192
841,20,2,36,"17:59:17","24.036",24036
841,1,2,36,"17:59:29","23.199",23199
841,153,3,35,"17:59:45","26.348",26348
841,808,2,36,"17:59:47","25.683",25683
841,814,2,36,"18:00:48","24.332",24332
841,18,3,37,"18:01:49","22.681",22681
841,16,2,37,"18:02:15","23.871",23871
841,15,2,37,"18:03:55","24.848",24848
841,816,2,38,"18:06:53","26.446",26446
841,17,3,41,"18:07:37","26.230",26230
841,22,4,40,"18:08:03","26.309",26309
841,4,3,42,"18:09:08","24.181",24181
841,13,3,48,"18:18:54","24.095",24095
842,16,1,3,"16:09:07","31.694",31694
842,22,1,3,"16:10:04","32.978",32978
842,17,1,10,"16:21:21","22.572",22572
842,814,1,11,"16:23:16","22.773",22773
842,1,1,12,"16:24:40","22.552",22552
842,20,1,13,"16:26:17","23.019",23019
842,2,1,13,"16:26:28","23.900",23900
842,18,1,13,"16:26:29","22.400",22400
842,13,1,13,"16:26:30","29.224",29224
842,15,1,13,"16:27:03","25.516",25516
842,4,1,14,"16:28:15","23.152",23152
842,30,1,14,"16:28:34","22.576",22576
842,808,1,15,"16:30:10","23.182",23182
842,67,1,15,"16:30:23","23.280",23280
842,3,1,15,"16:30:37","24.967",24967
842,5,1,15,"16:30:37","29.084",29084
842,153,1,16,"16:32:25","23.584",23584
842,16,2,16,"16:32:31","22.046",22046
842,155,1,17,"16:33:53","23.280",23280
842,815,1,17,"16:34:14","23.597",23597
842,10,1,17,"16:34:28","24.617",24617
842,816,1,17,"16:34:39","26.252",26252
842,24,1,17,"16:34:56","27.815",27815
842,22,2,17,"16:35:41","24.502",24502
842,67,2,20,"16:39:30","29.843",29843
842,17,2,22,"16:42:37","21.991",21991
842,18,2,23,"16:44:11","22.471",22471
842,1,2,24,"16:45:48","22.611",22611
842,814,2,24,"16:46:20","22.419",22419
842,20,2,25,"16:47:27","21.893",21893
842,4,2,26,"16:49:19","23.894",23894
842,2,2,26,"16:49:31","23.221",23221
842,13,2,27,"16:51:17","22.541",22541
842,808,2,27,"16:51:25","22.680",22680
842,30,2,28,"16:53:26","22.261",22261
842,3,2,29,"16:55:28","22.577",22577
842,17,3,32,"17:00:01","22.069",22069
842,153,2,32,"17:00:55","22.888",22888
842,16,3,32,"17:00:56","22.550",22550
842,67,3,32,"17:01:03","27.439",27439
842,5,2,34,"17:04:41","23.336",23336
842,10,2,34,"17:05:19","24.429",24429
842,816,2,35,"17:07:20","24.416",24416
842,155,2,36,"17:07:26","23.442",23442
842,1,3,37,"17:08:28","25.382",25382
842,814,3,37,"17:09:21","23.977",23977
842,18,3,38,"17:10:13","22.483",22483
842,13,3,38,"17:10:28","22.893",22893
842,2,3,39,"17:12:09","22.602",22602
842,24,2,38,"17:13:32","26.554",26554
842,3,3,40,"17:15:05","22.526",22526
842,20,3,41,"17:15:08","22.313",22313
842,4,3,41,"17:15:25","23.812",23812
842,30,3,42,"17:18:08","22.227",22227
842,17,4,43,"17:19:10","22.161",22161
842,808,3,44,"17:21:08","28.694",28694
842,4,4,46,"17:24:24","27.182",27182
842,24,3,44,"17:25:07","38.823",38823
842,1,4,52,"17:34:48","22.466",22466
843,153,1,9,"15:19:36","22.419",22419
843,24,1,9,"15:20:00","14.160",14160
843,30,1,10,"15:21:12","20.522",20522
843,17,1,10,"15:21:27","23.442",23442
843,813,1,10,"15:21:35","23.160",23160
843,814,1,11,"15:22:57","21.989",21989
843,3,1,12,"15:24:32","20.771",20771
843,67,1,12,"15:24:56","22.010",22010
843,18,1,14,"15:27:59","23.779",23779
843,20,1,14,"15:28:00","21.995",21995
843,155,1,14,"15:28:17","21.855",21855
843,13,1,15,"15:29:47","21.624",21624
843,1,1,15,"15:29:49","20.878",20878
843,16,1,15,"15:30:01","20.989",20989
843,4,1,16,"15:31:34","22.524",22524
843,815,1,16,"15:31:55","21.473",21473
843,22,1,16,"15:32:01","21.709",21709
843,67,2,16,"15:32:19","24.722",24722
843,10,1,16,"15:32:33","22.683",22683
843,808,1,17,"15:33:36","21.981",21981
843,2,1,18,"15:35:28","22.216",22216
843,5,1,19,"15:37:31","22.485",22485
843,15,1,20,"15:39:24","23.029",23029
843,816,1,20,"15:39:50","22.901",22901
843,24,2,21,"15:42:05","24.467",24467
843,39,1,23,"15:45:28","26.049",26049
843,18,2,24,"15:45:35","20.758",20758
843,3,2,25,"15:47:13","22.005",22005
843,1,2,25,"15:47:20","20.533",20533
843,17,2,25,"15:47:44","21.132",21132
843,813,2,25,"15:48:09","22.062",22062
843,30,2,26,"15:49:15","21.964",21964
843,10,2,28,"15:54:22","21.908",21908
843,16,2,30,"15:56:26","21.058",21058
843,155,2,30,"15:56:28","21.936",21936
843,2,2,30,"15:56:29","21.821",21821
843,20,2,31,"15:57:37","21.533",21533
843,4,2,32,"15:59:39","21.251",21251
843,814,2,32,"15:59:51","21.218",21218
843,13,2,33,"16:01:04","21.168",21168
843,67,3,33,"16:02:13","21.928",21928
843,816,2,34,"16:05:10","22.802",22802
843,22,2,35,"16:05:24","21.481",21481
843,815,2,36,"16:06:55","23.397",23397
